name,price,change
Alphabet Inc.,153.05,-1.16%
"Advanced Micro Devices, Inc.",172.06,-3.24%
Microsoft Corporation,408.59,-0.28%
Alphabet Inc.,151.46,-1.34%
Walmart Inc.,165.59,+0.33%
Novo Nordisk A/S,755.00,+0.91%
Novo Nordisk A/S,109.02,0.00%
Starbucks Corporation,94.08,+0.30%
"Remark Holdings, Inc.",1.2500,+264.43%
Paramount Global,13.68,-0.51%
Novartis AG,90.12,-2.67%
H & M Hennes & Mauritz AB (publ),150.86,-10.36%
Nasdaq 100 Mar 24,"17,342.00",-1.40%
Citigroup Inc.,57.09,+5.51%
General Motors Company,38.15,+7.80%
Schlumberger Limited,49.35,-7.24%
"United Parcel Service, Inc.",145.06,-8.20%
Mini Dow Jones Indus.-$5 Mar 24,"38,661.00",+0.13%
Electronic Arts Inc.,137.55,-0.74%
Vertex Pharmaceuticals Incorporated,446.08,+2.35%
The York Water Company,35.66,-0.94%
GSK plc,"1,520.69",-1.11%
Bank of America Corporation,34.79,+3.51%
Novartis AG,107.75,-0.19%
Wärtsilä Oyj Abp,13.78,+5.03%
"Skyworks Solutions, Inc.",104.33,-1.71%
"Banco Santander, S.A.",3.7285,+1.89%
Kempower Oyj,30.12,+5.39%
Stryker Corporation,316.64,+0.68%
Larsen & Toubro Limited,"3,479.75",-4.23%
